On block device 8:2, which starts at byte 255852544 (sector 499712):

   LOGICAL (sec)   INITIAL (sec)   FINAL (sec)   COUNT (sec)
               0        14262272      14278655         16384
           16384        14163968      14262271         98304
          114688        14295040      14426111        131072
          245760        14442496      14508031         65536
          311296        14704640      14721023         16384
          327680        14737408      14753791         16384
          344064        14770176      14786559         16384
          360448        14802944      14819327         16384
          376832        14835712      15032319        196608
          573440        15441920      15452175         10256

298849056/298852352 bytes used, 5247776/5251072 in the last extent.
